schema_version,seed,generated_requests,admitted_requests,blocked_requests,acceptance_ratio_pct,continuity_resolved_requests,continuity_satisfied_requests,continuity_failed_requests,active_excluded_requests,continuity_satisfaction_ratio_pct,migration_volume_total_mb,migration_mb_per_admitted_sfc,downtime_ms_per_admitted_sfc,migration_count,route_update_count,handoff_count,mean_e2e_delay_ms,p95_e2e_delay_ms,mean_decision_runtime_ms,p95_decision_runtime_ms,mean_candidate_runtime_ms,mean_policy_runtime_ms,mean_cpu_utilization_pct,mean_bandwidth_utilization_pct,mean_reward,mean_training_loss,decision_count,complete_fallback_count,candidate_paths_examined,algorithm,config_digest,mobility_mode,network_nodes,network_physical_links,arrival_rate_req_s,maximum_speed_m_s,experiment,x_name,x_value,checkpoint_sha256
2,31,58,47,11,81.03448275862068,28,24,4,19,85.71428571428571,2308.7593076403405,49.12253846043278,34.04255319148936,20,25,33,47.02109529302777,68.94252851972263,31.62260919298246,29.75973769999955,31.49202126817043,0.004258588972431,78.8789942175082,20.07255908527022,0.1422037412451952,,399,27,14701,dlapm,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,26,1,20,96.29629629629628,238.31261636513332,5.070481199258157,3.404255319148936,2,29,31,47.824386159942335,72.94324390053653,24.18790741204819,6.344229599999997,24.07964911566265,0.0016490891566265,79.4940920139288,18.634953432081254,0.1753496882531532,,415,18,13074,im,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,25,2,20,92.5925925925926,1608.8996902061722,34.23190830225898,22.127659574468087,13,76,33,47.957146776091456,72.32724948207611,34.72308376923077,15.554907299999948,32.9886559280397,1.584165960297767,79.03978703074401,20.09273176953032,0.1676075869664647,,403,21,14048,stg_ddqn,b22a1e0f612c433d,synthetic,12,19,0.65,10.0,mobility,maximum_speed_m_s,10.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,46,12,79.3103448275862,26,25,1,20,96.15384615384616,3031.9723226289,65.91244179628043,41.73913043478261,24,42,47,48.217233792510505,75.8418407511367,19.1542518975,35.314192599999856,19.009850125,0.0055243374999999,80.70035031698754,23.19482319382952,0.1619160186325129,,400,30,13970,dlapm,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,48,10,82.75862068965517,27,24,3,21,88.88888888888889,271.39261057890064,5.654012720393763,1.6666666666666667,1,52,55,48.140537543752856,80.40393133621113,24.39518440877598,6.465554599999993,24.249007048498843,0.0022278152424942,80.08487065356134,19.42651795274795,0.1707859282113576,,433,20,13677,im,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,46,12,79.3103448275862,28,25,3,18,89.28571428571429,1357.4187323923957,29.50910287809556,24.347826086956523,14,101,53,47.69904438226001,73.0260686167849,30.42189369212963,11.690518199999987,28.682243907407408,1.5939390671296296,79.92818303114478,21.796229766738332,0.1585886627865354,,432,26,15191,stg_ddqn,fa9544f18e58a18f,synthetic,12,19,0.65,20.0,mobility,maximum_speed_m_s,20.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,45,13,77.58620689655173,26,23,3,19,88.46153846153847,2976.634881875997,66.14744181946661,40.888888888888886,23,54,71,47.85970247050771,75.9964571165875,20.02813632235294,7.146731799999994,19.92429836705882,0.0038251529411764,80.82641391060434,21.28083382235384,0.1139175734091468,,425,24,14413,dlapm,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,25,2,20,92.5925925925926,537.3374260011723,11.432711191514304,10.212765957446807,6,69,73,47.75902060344364,74.04457590467513,16.10512873568282,5.395154249999994,15.9840270969163,0.00186118061674,79.32113987615166,17.930373733640472,0.1700894946682511,,454,18,13210,im,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,47,11,81.03448275862068,27,26,1,20,96.29629629629628,1006.3520813182736,21.4117464110271,17.02127659574468,10,135,73,48.988578846524064,74.33950421101756,21.32221728260869,10.800497949999844,19.688918623913043,1.4974121869565218,80.37597137591762,24.83846245464523,0.1716896216479456,,460,25,14994,stg_ddqn,3e1919f3f16f2692,synthetic,12,19,0.65,30.0,mobility,maximum_speed_m_s,30.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
2,31,58,46,12,79.3103448275862,28,24,4,18,85.71428571428571,3720.059038968414,80.87084867322639,41.73913043478261,24,73,94,47.95087834118306,78.20506540900566,26.15809283333334,20.5322592999998,26.00036327142857,0.0042443571428571,80.44900313851315,23.73331548651023,0.0997184083464229,,420,26,14916,dlapm,5a61717570ff8a98,synthetic,12,19,0.65,40.0,mobility,maximum_speed_m_s,40.0,9c903591cc1f52a156d3138083e0e429741eedd452ba41cc2762d1c0aa869899
